Name,Age,Nationality,Division,Position,G,PA,AB,R,H,Singles,Doubles,Triples,HR,XBH,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SF,IBB
Daniel Murphy,34.0,USA,NL West,1B,132,478,438,56,122,73,35,1,13,49,78,1,1,32,74,0.279,0.328,0.452,0.780,89,198,10,2,4,1
Dansby Swanson,25.0,USA,NL East,SS,127,545,483,77,121,75,26,3,17,46,65,10,5,51,124,0.251,0.325,0.422,0.748,87,204,7,5,5,2
Ryan McMahon,24.0,USA,NL West,2B,141,539,480,70,120,73,22,1,24,47,83,5,1,56,160,0.250,0.329,0.450,0.779,89,216,14,1,1,1
James McCann,29.0,USA,AL Central,C,118,476,439,62,120,75,26,1,18,45,60,4,1,30,137,0.273,0.328,0.460,0.789,107,202,10,6,0,1
Brian Anderson,26.0,USA,NL East,3B,126,520,459,57,120,66,33,1,20,54,66,5,1,44,114,0.261,0.342,0.468,0.811,113,215,15,14,3,1
Albert Pujols,39.0,USA,AL West,1B,131,545,491,55,120,75,22,0,23,45,93,3,0,43,68,0.244,0.305,0.430,0.734,90,211,21,3,8,1
Omar Narvaez,27.0,VEN,AL West,C,132,482,428,63,119,85,12,0,22,34,55,0,0,47,92,0.278,0.353,0.460,0.813,119,197,5,4,3,1
Scott Kingery,25.0,USA,NL East,UTIL,126,500,458,64,118,61,34,4,19,57,55,15,4,34,147,0.258,0.315,0.474,0.788,102,217,3,5,2,1
Oscar Mercado,24.0,COL,AL Central,OF,115,482,438,70,118,75,25,3,15,43,54,15,4,28,84,0.269,0.318,0.443,0.761,95,194,9,5,4,0
Nick Markakis,35.0,USA,NL East,OF,116,469,414,61,118,82,25,2,9,36,62,2,0,47,59,0.285,0.356,0.420,0.776,96,174,11,2,6,1
Marcell Ozuna,28.0,DR,NL Central,OF,130,549,485,80,117,64,23,1,29,53,89,12,2,62,114,0.241,0.328,0.472,0.800,110,229,21,1,1,2
Raimel Tapia,25.0,DR,NL West,OF,138,447,426,54,117,80,23,5,9,37,44,9,3,21,100,0.275,0.309,0.415,0.724,76,177,2,0,0,0
